id,sample_accession,study_accession
ERR039324,SAMEA961647,PRJEB2221
ERR039325,SAMEA961648,PRJEB2221
ERR039326,SAMEA961645,PRJEB2221
ERR039327,SAMEA961646,PRJEB2221
ERR039328,SAMEA961642,PRJEB2221
ERR039329,SAMEA961643,PRJEB2221
ERR039330,SAMEA961659,PRJEB2221
ERR039331,SAMEA961658,PRJEB2221
ERR039332,SAMEA961657,PRJEB2221
ERR039333,SAMEA961656,PRJEB2221
ERR039334,SAMEA961655,PRJEB2221
ERR039335,SAMEA961654,PRJEB2221
ERR039336,SAMEA961653,PRJEB2221
ERR039337,SAMEA961652,PRJEB2221
ERR039338,SAMEA961651,PRJEB2221
ERR039339,SAMEA961650,PRJEB2221
ERR039340,SAMEA961660,PRJEB2221
ERR039341,SAMEA961661,PRJEB2221
ERR039342,SAMEA961662,PRJEB2221
ERR039343,SAMEA961663,PRJEB2221
ERR039344,SAMEA961664,PRJEB2221
ERR039345,SAMEA961665,PRJEB2221
ERR039346,SAMEA961666,PRJEB2221
ERR040086,SAMEA961626,PRJEB2221
ERR040087,SAMEA961629,PRJEB2221
ERR040088,SAMEA961628,PRJEB2221
ERR040089,SAMEA961631,PRJEB2221
ERR040090,SAMEA961630,PRJEB2221
ERR040091,SAMEA961634,PRJEB2221
ERR040093,SAMEA961632,PRJEB2221
ERR040094,SAMEA961633,PRJEB2221
ERR040095,SAMEA961638,PRJEB2221
ERR040096,SAMEA961639,PRJEB2221
ERR040097,SAMEA961636,PRJEB2221
ERR040098,SAMEA961637,PRJEB2221
ERR040099,SAMEA961649,PRJEB2221
ERR040100,SAMEA961621,PRJEB2221
ERR040101,SAMEA961599,PRJEB2221
ERR040102,SAMEA961600,PRJEB2221
ERR040103,SAMEA961601,PRJEB2221
ERR040104,SAMEA961602,PRJEB2221
ERR040105,SAMEA961603,PRJEB2221
ERR040106,SAMEA961604,PRJEB2221
ERR040107,SAMEA961605,PRJEB2221
ERR040108,SAMEA961606,PRJEB2221
ERR040109,SAMEA961607,PRJEB2221
ERR040112,SAMEA787711,NA
ERR040114,SAMEA787709,NA
ERR040115,SAMEA787706,NA
ERR040118,SAMEA787744,NA
ERR040119,SAMEA787750,NA
ERR040120,SAMEA787742,NA
ERR040121,SAMEA787747,NA
ERR040122,SAMEA787748,NA
ERR040123,SAMEA787745,NA
ERR040124,SAMEA787746,NA
ERR040125,SAMEA787735,NA
ERR040126,SAMEA787736,NA
ERR040127,SAMEA787717,NA
ERR040128,SAMEA787716,NA
ERR040129,SAMEA787719,NA
ERR040130,SAMEA787718,NA
ERR040131,SAMEA787721,NA
ERR040132,SAMEA787720,NA
ERR040133,SAMEA787723,NA
ERR040134,SAMEA787722,NA
ERR040135,SAMEA787713,NA
ERR040136,SAMEA787712,NA
ERR040137,SAMEA787733,NA
ERR040138,SAMEA787734,NA
ERR040140,SAMEA787731,NA
ERR040141,SAMEA787737,NA
ERR040142,SAMEA787738,NA
ERR046729,SAMEA1019200,PRJEB2221
ERR046730,SAMEA1019222,PRJEB2221
ERR046732,SAMEA1019233,PRJEB2221
ERR046733,SAMEA1019256,PRJEB2221
ERR046734,SAMEA1019123,PRJEB2221
ERR046735,SAMEA1019273,PRJEB2221
ERR046736,SAMEA1019285,PRJEB2221
ERR046737,SAMEA1019305,PRJEB2221
ERR046738,SAMEA1019321,PRJEB2221
ERR046739,SAMEA1019324,PRJEB2221
ERR046741,SAMEA1019215,PRJEB2221
ERR046743,SAMEA1019251,PRJEB2221
ERR046744,SAMEA1019174,PRJEB2221
ERR046745,SAMEA1019139,PRJEB2221
ERR046746,SAMEA1019157,PRJEB2221
ERR046747,SAMEA1019118,PRJEB2221
ERR046748,SAMEA1019136,PRJEB2221
ERR046749,SAMEA1019094,PRJEB2221
ERR046751,SAMEA1019101,PRJEB2221
ERR046752,SAMEA1019309,PRJEB2221
ERR046753,SAMEA1019322,PRJEB2221
